Department,Major,Degree,School,Course Title,Course Description,Cost
Health & Human Services,Community Health,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SOCIAL JUSTICE AND HEALTH CARE POLICY,"This course examines social, cultural, and political-economic determinants of health from sociological and social epidemiological perspectives. The concept of social justice is used as a conceptual framework to investigate population health inequities tha",1830
Police,History,AA,FREDERICK COMMUNITY COLLEGE,ALGEBRA,"Develops introductory algebra skills. Topics include variables and algebraic expressions, order of operations, graphing and solving linear equations, like terms, the distributive law, applications of linear equations, systems of linear equations, polynomi",522.4
Police,History,AA,FREDERICK COMMUNITY COLLEGE,HISTORY,Covers Western history from 1500 to the present.,424.3
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",PERSPECTIVES IN LAW ENFORCEMENT MANAGEMENT,"A study of law-enforcement philosophies and techniques to reduce crime commonly applied at the organizational level. Topics include the politics of policing, police/community relations, police research, professionalization of personnel, and emerging probl",1374
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTERCULTURAL COMMUNITY LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices, as well as to organizatio",356
Fire/Rescue Services,Not Listed,Masters (MA/MS/MPH/etc.),BENEDICTINE UNIVERSITY,HAZARD ASSESSMENT AND PREPAREDNESS,"This course focuses on the planning and risk assessment processes used to prepare, implement and evaluate local and state mitigation plans. Upon completion of the course, students will be able to serve as a planning team coordinator in the preparation of local/state mitigation plans and critique mitigation plans.",1830
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,BMGT 365 ORGANIZATIONAL LEADERSHIP,"An exploration of leadership as a critical skill for the 21st century, when change occurs rapidly and consistently. The objective is to be able to use leadership theory and assessment tools to evaluate one's own leadership skills. Focus is on the leadersh",753
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,WRTG 394 ADVANCED BUSINESS WRITING,"A comprehensive, project-based study of applied business writing. The aim is to develop documents appropriate to audience and purpose that are well argued and conform to standards to business writing. Topics include context, purpose, audience, style, orga",753
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,HRMN 300 HUMAN RESOURCE MANAGEMENT,"A basic study of the strategic role of human resource management. The objective is to apply knowledge of human behavior, labor relations, and current laws and regulations to a working environment. Topics include employment laws and regulations, diversity",324
Fire/Rescue Services,Computer Engineering,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",SOCIAL AND ETHICAL DIMENSIONS OF ENGINEERING TECHNOLOGY,"Students will learn what the areas of electrical and computer engineering encompass, how engineers work among themselves and interact with non-engineers to meet specific societal needs, and how engineering and its technological artifacts impact society bo",457.5
Fire/Rescue Services,Computer Engineering,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",ANALOG AND DIGITAL ELECTRONICS,"The course covers the basics of analog amplifier design starting from single-stage to multiple stage units. The four basic single stage configurations (common-source/common-emitter, follower, cascade and differential pair) are stressed, as are the bias ne",457.5
Fire/Rescue Services,Computer Engineering,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",COMPUTER ORGANIZATION,"This course covers the basics of computer organization and design. The topics include assembly and machine instructions, data path and controller design, pipelining and memory hierarchy. 
",457.5
Fire/Rescue Services,Computer Engineering,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",ALGORITHMS,"A systematic study of the complexity of some elementary algorithms related to sorting, graphs and trees, and combinatorics.",457.5
Police,None,Non-Degree,NIGP: The Institute for Public Procurement,ONLINE COURSE: HOW TO PROCESS AND EVALUATE BIDS,The fundamentals of how to process and evaluate bids,285
Transportation,Information Systems-Business,Bachelors (BA/BS),STRAYER UNIVERSITY,WORLD RELIGIONS,"Offers a comparative approach to religious world views in relation to such questions as the origin of all things, the limits of knowledge, and the roles and responsibilities of the individual and of society. Presents a conceptual, historical, and cultural",1747.5
Transportation,Information Systems-Business,Bachelors (BA/BS),STRAYER UNIVERSITY,ALGEBRA WITH APPLICATIONS,"This course emphasizes the applications of algebra to a variety of fields including probability, statistics, and finance. It also covers mathematical modeling and set theory.",82.5
Police,Other/Misc.,Other,"GLOCK PROFESSIONAL, INC",GLOCK ARMORE'S COURSE,"Training is a class designed for new shooters, teaching the fundamentals of responsible gun ownership and safety. The class covers a wide range of skills and rules with both classroom instruction and live fire range time.",185
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),University of Maryland - University College,"MATH 009, INTRODUCTORY ALGEBRA ","A comprehensive review of real number properties and operations, including fractions, percentages, operations with signed numbers, and geometric formulas. The objective is to develop fluency in the language of introductory algebra; develop number sense and estimation skills; and use mathematical modeling to translate, solve, and interpret applied problems. Topics include linear equations and inequalities, equations of lines, graphs on number lines and rectangular coordinate systems, rules of exponents, and operations on polynomials.",798
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),University of Maryland - University College,MATH 012,"A study of problem-solving techniques in intermediate-level algebra. The goal is to demonstrate number sense and estimation skills; interpret mathematical ideas using appropriate terminology; manipulate, evaluate, and simplify real-number and algebraic expressions; and translate, solve, and interpret applied problems. Emphasis is on numbers and algebraic properties, graphing skills, and applications drawn from a variety of areas (such as finance, science, and the physical world). Topics include polynomials; factoring; exponents and their notation; rational expressions and equations; rational exponents and radical expressions; linear, quadratic, and other equations; and inequalities.",798
Fire/Rescue Services,Nursing,AA,FREDERICK COMMUNITY COLLEGE,NURSING,A unique profession that is concerned with all of the variables that affect the client system's environment. Nursing uses a problem-solving approach called the nursing process to assess and identify actual or potential stressors in the client system. The,436.3
Fire/Rescue Services,History,Bachelors (BA/BS),American Public University System,ENGLISH LITERATURE AND COMPOSITION,This course is designed to focus on critical reading and writing skills. It emphasizes reading and writing by enabling students to experience literature as one of many forms of language and offers effective ways of highlighting reading strategies in a num,750
Fire/Rescue Services,History,Bachelors (BA/BS),American Public University System,HISTORY OF THE AMERICAN INDIAN,"This course surveys American Indian history from before Columbus to the present. It emphasizes the American Indians' political, economic, and social development, the emergence of the principles that guided them into the 21st century, the evolution of its",750
Health & Human Services,None,Non-Degree,GEORGE WASHINGTON UNIVERSITY,THE GEORGE WASHINGTON OFFICE OF CONTINUING EDUCATION: PEDIATRIC BOARD REVIEW,Define and resolve gaps in current knowledge based on information presented. Integrate the information provided in the extensive syllabus with current resources. Recognize or become familiar with the format and style of Board examination questions. Apply,750
Health & Human Services,None,Non-Degree,GEORGE WASHINGTON UNIVERSITY,2012 MAINTENANCE OF CERTIFICATION EXAM PREPARATION COURSE: INTERNAL MEDICINE,"The degree is designed to provide a medical education that prepares graduates comprehensively for residency training, provides them the experience on which to base their career selection, and prepares them for professional lives of continuous learning. The Practice of Medicine, a course that spans all four years, provides early patient exposure and the means to develop outstanding clinical thinking, technical skills, and a sense of professionalism. In the first two years, The Practice of Medicine offers a clinical apprenticeship, in which each student is placed with a practicing clinician one day every other week; on alternate weeks, students meet in small groups with faculty mentors to learn clinical assessment skills and to consider ethical, social, and professional issues. In addition, problem-based learning is conducted through small-group, case-based tutorials.
",895
Fire/Rescue Services,Engineering (Undecided),Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",CELLULAR AND PHYSIOLOGICAL TRANSPORT PHENOMENA,"A study of transport processes, including momentum, energy and mass transport, relevant to bio systems at various scales from physiological to cellular systems. Transport leads to sets of partial differential equations and the course revolves around appro",1830
Police,Forensic Science,Masters (MA/MS/MPH/etc.),UNIVERSITY OF FLORIDA,PHA 6935  PRINCIPLES OF FORENSIC SCIENCE,This course is structured to introduce the basic disciplines of forensic science.,1575
Police,Other/Misc.,Other,ACADEMI,TACTICAL PISTOL 1,This course is designed to develop skills for student who uses his firearm in a tactical environment. The course will start with developing fundamental shooting skills. The student will soon advance to skills that will reduce reaction time allowing for a,1190
Technology Services,None,Non-Degree,Montgomery College Rockville Campus,CISCO CCNA,This class is designed to take the student through all four modules of the Cisco CCNA training. The four modules consist of Networking basics; Routers and Routing Basics; Switching Basics and Intermediate Routing; and WAN Technologies. These four modules,784
Health & Human Services,Business/Admin./Mgmt.,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,HEALTH 101,"The meaning and significance of physical, mental, and social health as related to the individual and to society; important phases of national health problems; constructive methods of promoting the health of the individual and the community; health problems of college students and young people.",438
Health & Human Services,Business/Admin./Mgmt.,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,CERAMICS I,"First of two related courses (with AR 122). The aesthetic and technical aspects of the ceramic process. Studio sessions will involve an exploration of the nature of clay, decorative processes, glazes, and firing via hand built pottery. A general survey of historical and contemporary ceramic art forms is included. Wheel-thrown pottery techniques are also introduced. Design and craftsmanship are emphasized. (ARTD)",448
Correction & Rehabilitation,None,Non-Degree,University of Maryland - University College,GOVP200 INTERNATIONAL POLITICAL RELATIONS,"A study of the major factors underlying international relations, the methods of conducting foreign relations, and the means of avoiding or alleviating international conflicts. The objective is to interact with global communities, contribute to policy form",730
Correction & Rehabilitation,None,Non-Degree,University of Maryland - University College,HOMELAND SECURITY  (HMLS 310),"A real-world assessment of the issues involved in responding to homeland security critical incidents. The aim is to prepare for future challenges, integrate critical incident responses at all levels, and analyze the effect of regulations and laws on criti",730
Correction & Rehabilitation,None,Non-Degree,University of Maryland - University College,IFSM 300  (INFORMATION SYSTEMS IN ORGANIZATIONS),An overview of information systems and how they provide value by supporting organizational objectives. The goal is to analyze business strategies to recognize how technology solutions enable strategic outcomes and to identify information system requiremen,370
Fire/Rescue Services,Fire Science,AA,COLUMBIA SOUTHERN UNIVERSITY,STUDENT LEARNING SUCCESS,Introduces students to the skills that will promote academic success in a distance education learning environment. Students will also learn to identify and use appropriate university resources.,600
Fire/Rescue Services,Engineering (Undecided),AA,FREDERICK COMMUNITY COLLEGE,CALCULUS I,"Presents the first course in the three-semester calculus sequence (MA210/MA211/MA212). Designed for students in mathematics, science, engineering, medical and other technical programs. Topics covered include: functions, limits and continuity, the derivati",563.9
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,ECONOMICS 201,"An introduction to the study of the macro economy. The objective is to apply select macroeconomic theories to real world situations. Discussion covers economic growth, unemployment, inflation, and the roles of monetary policy and fiscal policy in determin",753
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,LIBS 150 INFORMATION LITERACY AND RESEARCH METHODS,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and et",251
Finance,Political Science,Bachelors (BA/BS),Arizona State University,CONTEMPORARY GLOBAL CONTROVERSIES,"Explores key controversies in global politics including security, economic stability, poverty, gender, race, and the environment. 

",504
Finance,Political Science,Bachelors (BA/BS),Arizona State University,INTRODUCTION TO GLOBAL HEALTH,"Current global health crises, challenges; tools for describing health and disease; ecological, cultural, social, historical, political-economic factors; comparative health systems.

",1326
Liquor Control,Computer Science,Masters (MA/MS/MPH/etc.),University of Maryland - University College,FINANCIAL DECISION MAKING FOR MANAGERS,"Knowledge of the fundamental concepts of financial accounting and economics, including opportunity cost, the time value of money, and financial analysis. An investigation of financial decision making in business, government, and not-for-profit organizatio",1374
Liquor Control,Computer Science,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTRO TO GRADUATE LIBRARY RESEARCH SKILLS,An overview of online library and information resources material that is critical for 21st-century managers. An in-depth introduction to the library research process and the tools necessary to succeed in graduate study are provided,75
Police,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,ECON 551: FOUNDATIONS OF ECONOMICS,Introduction to the basic tools of economic analysis that are employed to examine the environment of a firm at both the microeconomic and macroeconomic levels. The micro portion focuses upon the behavior of consumers and firms in the product and resource,950
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),BOSTON UNIVERSITY,YOUTH CRIME PROBLEMS,"Throughout this course, students will analyze the policy issues concerning juvenile justice and youth crime. Emphasis will be put on the scope and nature of youth crime and the young offender, as well as juvenile justice procedures, programs and instituti",1730
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),BOSTON UNIVERSITY,CYBER CRIME,This course is designed to help students understand and apply the nature of computer crime in the criminal justice field. Several theories (both micro-level and macro-level) will be presented and will be analyzed in depth and applied to computer crime cas,0
Police,Other/Misc.,Other,"GLOCK PROFESSIONAL, INC",GLOCK ARMORE'S COURSE-ADVANCED ARMORERS COURSE,Advanced repair/maintenance of Glock Pistols.,280
Correction & Rehabilitation,Linguistics,Certificate,HOWARD COMMUNITY COLLEGE,ELEMENTARY SIGN LANGUAGE,"In this introductory course, students will learn to
sign at a basic level. They will learn about deaf
culture and communities In class, they will focus on the basic signing vocabulary and on how to form basic communication with the deaf.
",828
General Services,Science Education,Bachelors (BA/BS),HOOD COLLEGE,ORGANIZATIONAL THEORY AND BEHAVIOR,This course introduces students to the major theoretical perspectives in both macro and micro organization studies. The framework for the course is multidisciplinary to reflect the historical and modern contributions of the social science disciplines to t,610
General Services,Science Education,Bachelors (BA/BS),HOOD COLLEGE,LEGAL ENV. BUSINESS,"The purpose of this course is to provide an overview of the contemporary legal and regulatory environment of business. Specifically, it relates various laws and regulations to the major business functions such as employment, production, marketing, finance",610
General Services,Science Education,Bachelors (BA/BS),HOOD COLLEGE,INTRO TO US POLITICS,"An introduction to the U.S. system of government and its policy process. Will explore the foundations and structure of the government, the way in which policy is crafted in the U.S. governmental institutions and other electoral processes including electio",610
Animal services,Professional/Technical,Other,Purdue University,BMS 23500 PHARMACOLOGY FOR VETERINARY TECHNICIANS,"This course is the first of two courses in the distance learning program that presents an introduction to the principles of pharmacy and pharmacology for the veterinary technician. Emphasis will be placed upon key concepts of how drugs work, terminology commonly used with therapeutic agents, important mechanisms and side effects of commonly used veterinary drugs, and dosage calculations.",231.2
Police,Other/Misc.,Other,COLT DEFENSE LLC,COLT ARMORER'S COURSE-M16/M4 RIFLE,"Each graduate will gain a complete understanding of the design theory, nomenclature, dynamics, compatibility, interchangeability, detailed disassembly, maintenance and trouble-shooting of M16/AR-15 family of weapons including rifles, carbines, and sub-mac",450
Police,Law,Juris Doctor,GEORGETOWN UNIVERSITY,CRIMINAL JUSTICE,Provides representation to indigent criminal defendants charged with misdemeanor offenses in both jury and non-jury trials in the D.C. Superior Court.,1730
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",STATISTICS,"Introductory course in probabilistic and statistical concepts including descriptive statistics, set-theoretic development of probability, the properties of discrete and continuous random variables, sampling theory, estimation, hypothesis testing, regressi",750
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",COUNTERTERRORISM,"An investigation of counterterrorism (including its historical context), focusing on the evaluation of threats and the formulation of defeat strategies. The aim is to evaluate response strategies, help improve offensive and defensive planning, and constru",750
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTRODUCTON TO RESEARCH,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and et",266
Police,None,Non-Degree,NIGP: The Institute for Public Procurement,STRATEGIC PROCUREMENT PLANNING,Strategic planning within an organization and the importance of its relationship to procurement planning.,660
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",LAW-ENFORCEMENT ADMINISTRATION,"An introduction to organization and management in law enforcement. The objective is to communicate effectively and apply research skills and management and administrative principles to a law enforcement agency. Topics include structure, process, policy an",798
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",PSYCHOLOGY OF INTERPERSONAL RELATIONSHIPS,"A study of interpersonal dynamics and how relationship skills can result in healthy or unhealthy behaviors, from the beginning to the end of a relationship. The goal is to apply knowledge of interpersonal dynamics to evaluate behaviors. Discussion covers",798
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",LEGAL AND ETHICAL ISSUES IN INTELLIGENCE,An examination of the legal and ethical issues related to intelligence activities in the United States. The aim is to be able to make informed ethical decisions that are consistent with traditional democratic values protecting individual civil liberties a,0
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,BUS 409  COMPENSATION MANAGEMENT,"Introduces and analyzes the basic concepts of compensation administration in organizations.  Provides an intensive study of the wage system, methods of job evaluation, wage and salary structures and the legal constraints on compensation programs",915
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,CIS 111      INTRO TO RELAT DBASE MGT SYST,"This course provides the students with an introduction to the theory and applied concepts of database design, database management organizational information requirements, express those requirements and information management. Students will focus on identifying organizational information requirements, express those requirements using conceptual data modeling techniques, verifying the structural characteristics with normalization techniques and convert conceptual data models into physical database models.",915
Correction & Rehabilitation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - College Park,INFORMATION SYSTEM MANAGEMENT,"The information systems management minor complements the skills the student gains in his or her major discipline by helping students develop their abilities to conceptualize and manage the design and implementation of high-quality information systems. 


",1374
Police,Job Related,Certificate,ACADEMI,ADVANCED PATROL RIFLE,"The course is an in-depth, three-day course. The course will take an individual with little or no experience with scoped precision rifles through all the training required to become self-sufficient in the operation and handling of a rifle.",1695.24
Fire/Rescue Services,Public Safety,Non-Degree,SIGNET NORTH AMERICA,HAZMAT SAFETY OFFICER,"The goal of this course is to bring personnel to, at a minimum, the recognized United States Occupational Safety and Health Administration's Hazardous Materials Site Safety and Health Supervisor or Official, 29 CFR 1910.120(q). Per this legislation by d",499.75
Health & Human Services,None,Non-Degree,PESI  ---CONTINUING EDUCATIOIN SEMINARS,ADVANCED DIALECTICAL BEHAVIOR THERAPY,Implement advanced dialectical strategies into you clinical practice. Illustrate the effective use of dairy card and behavioral chain analysis. Recognize the relationship between individual DBT therapy and skills training group. Apply DBT to a variety of,185
Health & Human Services,None,Non-Degree,PESI  ---CONTINUING EDUCATIOIN SEMINARS,DIALECTICAL BEHAVIOR THERAPY,"Gain knowledge and confidence to implement DBT Skills and strategies into your clinical practice. Utilize specific DBT techniques, including: Mindfulness, Distress, Tolerance, Emotional Regulation and Interpersonal Regulation. Connect DBT to your group an",184
Fire/Rescue Services,None,Non-Degree,Remote Medical International,Remote Medicine for the Advanced Provider,"Confidently manage a patient, by yourself, for multiple hours and/or days. Conduct pre-planning, risk managements, manage legal issues, and address international travel issues. Develop a mind-set appropriate for and unique to remote and austere settings.",1120
Police,Job Related,Other,ACADEMI,ADVANCED PATROL RIFLE,"The course is an in-depth, three-day course. The course will take an individual with little or no experience with scoped precision rifles through all the training required to become self-sufficient in the operation and handling of a rifle.",1695.24
Police,Other/Misc.,Other,BERLITZ LANGUAGE CENTER,SPANISH LANGUAGE TRAINING,This course is an intermediate level program and focuses on speaking and listening skills. Student are also practicing reading and writing through exercises and homework. At this level a student can understand information on familiar topics in contextua,1994.96
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,CMRJ501 CRIMINOLOGY,"This course will review and describe the various theories and implications of criminal acts in relation to behavior discipline, causative and scientific aspects. Analysis of criminal and non-criminal behavior is addressed regarding certain causes, control",975
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),UNIVERSITY OF PHOENIX,ALBEBRA 1B,"This course explores advanced algebra concepts and assists in building the algebraic and problem solving skills developed in Algebra 1A. Students will solve polynomials, quadratic equations, rational equations, and radical equations. These concepts and sk",1185
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),UNIVERSITY OF PHOENIX,BUSINESS COMMUNICATIONS & CRITICAL THINKING,"This five-week course in critical thinking and informal logic helps students develop the ability to reason clearly and critically. It includes an introduction to the disciplines of inductive and deductive logic, fallacious reasoning, and problem-solving t",645
Police,Criminal Justice,Certificate,"The Newberry Group, Inc",CELLBRITE CELL PHONE DATA RETREIVAL TRAINING,"This course covers the proper forensic handling of mobile devices, operating the UFED to extract digital evidence from phones and SIM cards, examining the resulting information, properties of Flash memory and their forensic implications, the forensic acquisition of full contents of Flash memory, and the examination of the resulting data including deleted items. In addition, you will learn how to use Cellebrite's Report Manager to search for specific information and generate reports and to use Cellebrite's Physical Analyzer software to examine physical memory dumps acquired from mobile devices, search for specific information, and generate reports.",1800
Police,Forensic Science,Certificate,INTERNATIONAL ASSOCIATION OF COMPUTER INVESTIGATIVE SPECIALIST,CERTIFIED FORENSIC COMPUTER EXAMINER,"The IACIS IFE is a 36-hour course of instruction that is
designed to provide students with foundational knowledge of the Internet, computer networks, and the forensic analysis
of Internet artifacts. Through a combination of lectures,
instructor-led and in",750
Police,Job Related,Other,"JOHN E. REID AND ASSOCIATES, INC.",INTERVIEW AND INTERROGATION SEMINAR,Interview and Interrogation Preparation. Distinction Between an Interview and Interrogation. Proper Room Environment Factors Affecting a Subject's Behavior,580
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",CONCEPTS AND APPLICATIONS OF INFORMATION TECHNOLOGY,"(Access to a standard office productivity package, i.e., word processing, spreadsheet, database, and presentation software required.) A practical application of information technology for personal and professional productivity. The objective is to use technology appropriately and fluently to organize, analyze, and communicate information. Topics include hardware, software, office applications, information security and ethics, and the Internet.",753
Police,Job Related,Certificate,ACADEMI,ADVANCED PATROL RIFLE,"The course is an in-depth, three-day course. The course will take an individual with little or no experience with scoped precision rifles through all the training required to become self-sufficient in the operation and handling of a rifle.",1695.24
Police,Criminal Justice,Bachelors (BA/BS),PENNSYLVANIA STATE UNIVERSITY,PUBLIC POLICY 201 - INTRO. TO HOMELAND SECURITY,"Introduction to Homeland Security provides a baseline of common knowledge for understanding the nature of homeland security. The course achieves this goal by focusing on homeland security, the motivation and nature of terrorists, the policies established",1709
Police,Other/Misc.,Certificate,MONTGOMERY COMMUNITY COLLEGE,HHS034:  PHLEBOTOMY TECHNICIAN,"Classroom work includes medical terminology, anatomy and physiology review, blood collection procedures, specimen collection practice, and specimen processing and handling. Laboratory operations are reviewed including safety, quality control, universal precautions, routine laboratory tests, confidentiality, and ethics.",1730
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,CMRJ505 RESEARCH METHODS IN CRIMINAL JUSTICE AND SECURITY,This course focuses on research design for criminological studies or security principles depending on the major selected. There is an emphasis on data collection methods and measurements of validity and reliability. The successful student will be able to gather and develop criminal justice/security research material into analytic data that can be easily interpreted. Students will learn the appropriate methods of assessing quantitative and qualitative data. Additionally students will learn the proper citation methods in APA.,975
Police,History,AA,FREDERICK COMMUNITY COLLEGE,WESTERN CIVILIZATION II,Surveys the development of Western civilization from ancient times to 1500.,463
Police,History,AA,FREDERICK COMMUNITY COLLEGE,"ALGEBRA, INTERMEDIATE","Develops intermediate algebra skills with a graphing approach. Topics include linear equations, systems of equations, quadratic equations, functions, exponents, radical functions, exponential functions, logarithmic functions, polynomial functions, and rational functions. Technology is integrated with traditional skill practice throughout the course",300
Police,Not Listed,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",WRTG 101 - INTRODUCTION TO WRITING,"Practice in effective writing and clear thinking at all levels, including the sentence and paragraph, with emphasis on the essay and research report. The objective is to apply specific steps within the writing process, including formulating purpose, identifying an audience, and selecting and using research resources and methods of development. Revision and recursive writing practice are emphasized and encouraged. Assignments include comparison-contrast and research essays, as well as other rhetorical tasks.",753
Police,Not Listed,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",LIBS 150 - INTRODUCTION TO RESEARCH,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and et",311
Police,Other/Misc.,AA,MONTGOMERY COMMUNITY COLLEGE,AUTOMOTIVE ELECTRICITY I,"The ASE-NATEF Master Certified curriculum prepares students for employment in the automotive service industry as a repair technician. The curriculum also prepares students for seven ASE automobile technician certification exams; ASE A-1, A-4, A-5, A-6, A-8 and L-1. Students are exposed to the following areas of expertise; Undercar (brakes, suspension, steering and alignment), Electrical (engine and chassis/body), Engine Performance (computer controlled fuel injection, ignition and emission control systems), Engine Repair and HVAC (Heating, Ventilation and Air Conditioning). All automotive (AT) classes consist of a lecture section and a lab (shop) section.",593.6
Fire/Rescue Services,Not Listed,AA,HAGERSTOWN COMMUNITY COLLEGE,ENGLISH 102,"This course refines the writing process through the reading and interpretation of literature. Students learn manuscript presentation, inquiry, and research skills by writing a clearly documented research paper.",351
Police,Health & Human Services,Other,MONTGOMERY COMMUNITY COLLEGE,HHS034 PHLEBOTOMY TECHNICIAN,"Classroom work includes medical terminology, anatomy and physiology review, blood collection procedures, specimen collection practice, and specimen processing and handling. Laboratory operations are reviewed including safety, quality control, universal precautions, routine laboratory tests, confidentiality, and ethics.",1780
Police,Not Listed,Other,MONTGOMERY COMMUNITY COLLEGE,PHLEBOTOMY TECH,"Classroom work includes medical terminology, anatomy and physiology review, blood collection procedures, specimen collection practice, and specimen processing and handling. Laboratory operations are reviewed including safety, quality control, universal precautions, routine laboratory tests, confidentiality, and ethics.",1730
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTELLIGENCE ANALYSIS,"An introduction to management issues associated with intelligence activities in national and homeland security, law enforcement, and the private sector. Intelligence is evaluated from the perspectives of its consumers in government and business. Topics include the historical issues that led to extensive oversight of intelligence agencies and laws restricting their activities. Discussion also covers recent changes in national intelligence and current issues, such as the debate over security versus civil liberties and how to protect America from foreign espionage and exploitation.",798
Police,Criminal Justice,Bachelors (BA/BS),BELLEVUE UNIVERSITY,CJAC 424 COMMUNITY POLICING,The focus of this course is an examination of the contemporary system of law enforcement known as community oriented policing. The course examines this philosophical approach in modern day society. Through the extensive use of case studies and real world,1480
Police,Criminal Justice,Bachelors (BA/BS),BELLEVUE UNIVERSITY,CJAC 434 OPERATIONS MANAGEMENT IN CRIMINAL JUSTICE ORGANIZATIONS,"This course examines the operations management function in a criminal justice organization. Students will analyze various qualitative and quantitative approaches to scheduling, planning, resource allocation, and process analysis as components of operation",650
Police,Physical Education,AA,HAGERSTOWN COMMUNITY COLLEGE,CARE AND PREVENTION OF ATHLETIC INJURY,"This course provides students knowledge of specific areas of sports-related injuries. Prevention and treatment are stressed through systematic understanding of recognition, evaluation, diagnosis, and intervention of athletic injuries",396
Transportation,Psychology,Bachelors (BA/BS),University of Maryland - University College,MINORITIES IN THE UNITED STATES,"An examination of basic social processes in the relations of minority groups in the United States. The aim is to analyze current and historical events and use sociological tools to critically evaluate ethnic and racial issues. 

",753
Transportation,Psychology,Bachelors (BA/BS),University of Maryland - University College,INTRODUCTION TO DRAWING,"A hands-on introduction to various drawing media and related techniques. The objective is to translate the three-dimensional world into two dimensions, communicate through a visual medium, and critique visual works of art. Projects are based on nature and still life.",753
Correction & Rehabilitation,Psychology,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",RESEARCH METHODS IN PSYCHOLOGY,"A survey of research methods focusing on the fundamentals of research design and behavior. The objective is to ask research questions, formulate research hypotheses, design and conduct a research study, and present results. Topics include scientific writi",251
